stream_id,track_id,artist_id,platform,stream_date,stream_duration_sec,country,user_type
1001,T001,A001,SPOTIFY,2024-01-15,185,France,PREMIUM
1002,T002,A002,DEEZER,2024-01-15,45,Belgium,FREE
1003,T001,A001,SPOTIFY,2024-01-15,190,France,PREMIUM
1004,T003,A001,DEEZER,2024-01-16,220,Germany,PREMIUM
1005,T004,A003,SPOTIFY,2024-01-16,25,France,FREE
1006,T002,A002,SPOTIFY,2024-01-16,180,UK,PREMIUM
1007,T005,A004,DEEZER,2024-01-17,195,France,PREMIUM
1008,T001,A001,DEEZER,2024-01-17,188,Spain,FREE
1009,T006,A005,SPOTIFY,2024-01-17,240,France,PREMIUM
1010,T003,A001,SPOTIFY,2024-01-18,215,Belgium,PREMIUM
1011,T007,A002,DEEZER,2024-01-18,30,Germany,FREE
1012,T004,A003,SPOTIFY,2024-01-18,198,France,PREMIUM
1013,T005,A004,SPOTIFY,2024-01-19,200,Italy,PREMIUM
1014,T008,A005,DEEZER,2024-01-19,165,France,PREMIUM
1015,T001,A001,SPOTIFY,2024-01-19,15,UK,FREE
1016,T002,A002,DEEZER,2024-01-20,175,France,PREMIUM
1017,T006,A005,DEEZER,2024-01-20,238,Spain,PREMIUM
1018,T009,A003,SPOTIFY,2024-01-20,210,France,PREMIUM
1019,T003,A001,DEEZER,2024-01-21,218,Germany,PREMIUM
1020,T010,A004,SPOTIFY,2024-01-21,185,France,FREE
1021,T007,A002,SPOTIFY,2024-01-21,178,Belgium,PREMIUM
1022,T004,A003,DEEZER,2024-01-22,20,France,FREE
1023,T008,A005,SPOTIFY,2024-01-22,168,UK,PREMIUM
1024,T001,A001,SPOTIFY,2024-01-22,192,France,PREMIUM
1025,T005,A004,DEEZER,2024-01-23,198,Italy,PREMIUM
1026,T009,A003,SPOTIFY,2024-01-23,205,France,PREMIUM
1027,T002,A002,DEEZER,2024-01-23,172,Germany,FREE
1028,T006,A005,SPOTIFY,2024-01-24,242,France,PREMIUM
1029,T010,A004,DEEZER,2024-01-24,180,Spain,PREMIUM
1030,T003,A001,SPOTIFY,2024-01-24,12,France,FREE
1031,T001,A001,DEEZER,2024-01-25,187,Belgium,PREMIUM
1032,T007,A002,SPOTIFY,2024-01-25,175,France,PREMIUM
1033,T004,A003,DEEZER,2024-01-25,195,UK,PREMIUM
1034,T008,A005,DEEZER,2024-01-26,160,France,FREE
1035,T005,A004,SPOTIFY,2024-01-26,202,Germany,PREMIUM
1036,T009,A003,SPOTIFY,2024-01-26,208,France,PREMIUM
1037,T002,A002,SPOTIFY,2024-01-27,18,Italy,FREE
1038,T006,A005,DEEZER,2024-01-27,235,France,PREMIUM
1039,T010,A004,SPOTIFY,2024-01-27,188,Spain,PREMIUM
1040,T001,A001,SPOTIFY,2024-01-28,191,France,PREMIUM
1041,T003,A001,DEEZER,2024-01-28,220,Belgium,PREMIUM
1042,T007,A002,DEEZER,2024-01-28,170,France,FREE
1043,T004,A003,SPOTIFY,2024-01-29,200,Germany,PREMIUM
1044,T008,A005,SPOTIFY,2024-01-29,162,France,PREMIUM
1045,T005,A004,DEEZER,2024-01-29,195,UK,PREMIUM
1046,T009,A003,DEEZER,2024-01-30,212,France,PREMIUM
1047,T002,A002,SPOTIFY,2024-01-30,178,Spain,PREMIUM
1048,T006,A005,SPOTIFY,2024-01-30,240,France,PREMIUM
1049,T010,A004,DEEZER,2024-01-31,182,Italy,PREMIUM
1050,T001,A001,SPOTIFY,2024-01-31,189,France,PREMIUM
