activity_type,intensity_level,duration_minutes,heart_rate_avg,calories_burned,distance_km,steps_count,sleep_hours_prev,user_age,is_morning
swimming,high,17.708425042926194,155.4444884457894,533.0017542472281,10.763287029438864,9376.0,4.961833659633364,54,1
swimming,low,31.312945593648973,120.90620422514893,534.7644738418962,6.865417396266769,13458.0,8.923661060027554,30,0
yoga,low,82.11470186857572,158.09949645661635,359.1953366252852,0.0,11635.0,4.9122650309131,43,1
weightlifting,low,62.3945832457931,86.46688191164817,221.48082805288496,0.0,3378.0,7.731293614920173,50,0
running,medium,18.471577801635927,128.58846655960235,82.35842142899386,19.74889980372933,4502.0,8.219379070177297,48,0
running,high,48.98142462128264,110.1189267501818,280.02132847131094,12.655125452142922,13103.0,5.346508839235164,56,0
weightlifting,medium,53.11461683267506,144.15209655886457,295.0839232519992,0.0,78.0,5.627291238736793,54,1
weightlifting,low,24.37650231733707,93.96222529152227,77.1651163414671,0.0,12318.0,5.236493418536118,56,1
cycling,medium,76.1119436268293,149.7308219350125,79.25462643630084,13.598353223280446,11956.0,3.641721578836646,19,0
cycling,medium,20.230481792926305,123.51531206107985,649.5056690390428,2.459447497743801,7019.0,5.873792724976302,36,1
weightlifting,high,45.21053714460958,152.17720637727905,441.4214669527926,0.0,4545.0,4.448112870508094,38,1
swimming,high,56.50661643592273,118.1722819071365,190.70612100189436,17.00382693617574,4176.0,4.542871491306778,20,0
cycling,high,48.756521837276004,114.43970221835305,310.96853133508523,0.1779161107086935,3823.0,4.10838934100649,18,0
weightlifting,low,62.811871429432664,143.11573740354635,634.5117159555532,0.0,6676.0,4.163187293425864,52,1
cycling,high,76.40540085629442,158.7322399944897,588.6065648651293,16.54006051638107,7568.0,7.882966020930126,59,1
swimming,low,96.06405293524887,109.5780634121943,556.5386225652446,15.704219186527428,8302.0,5.537905128865358,50,1
yoga,medium,,157.5146295452988,285.4427986008669,0.0,,4.535523030949356,31,0
swimming,low,68.36924863718426,154.32211102123355,345.81381123904555,4.148785324139494,11889.0,6.545417110592469,47,1
running,low,72.65943970031398,94.2154068609585,456.0136110986396,16.997312621904236,9332.0,6.6256337763507345,30,0
running,medium,36.34486741112384,128.7081293475638,86.48162777483364,8.649896233100616,14834.0,6.881148162361128,49,1
weightlifting,low,10.134107515795256,136.3891796451794,383.357670152434,0.0,3229.0,8.468138282691145,29,0
yoga,medium,97.61142472897714,155.42429433033337,212.87096271806092,0.0,,3.9012366717718105,50,1
weightlifting,low,36.85611007151881,133.25259335726028,577.7907040009533,0.0,9188.0,5.228322770654377,59,0
swimming,low,38.25874018309031,90.67166043613545,88.5286623873146,9.945358254829472,659.0,4.707723825064876,59,1
weightlifting,high,90.25399634006415,119.82940790282996,457.508919812819,0.0,535.0,3.1006923139467046,55,0
cycling,medium,62.66466459018172,119.48958671648919,572.053101396502,10.797144086888721,7723.0,4.089323624176377,56,0
swimming,high,52.417869866364825,120.01809514789967,186.39111509654487,2.1376015713808494,6993.0,5.368011487791617,47,0
yoga,high,79.59493086839348,156.6865828887398,587.2689436484756,0.0,13757.0,5.359864260517945,41,1
running,high,12.731140689622407,107.99499198578039,573.317280814601,2.793178191482981,,6.7003676664420055,56,0
cycling,medium,73.62685860900612,97.90169174225727,61.11033060212645,8.793155150245793,7711.0,5.713599172962878,21,1
running,low,43.68194501306237,121.76696017691582,474.4973404023064,11.736989468889279,7453.0,6.64398400542885,33,0
swimming,medium,18.176744215383206,131.29367391720226,50.71981015209719,6.382990047928175,3712.0,4.338359912480237,43,0
weightlifting,high,69.44500606851054,155.1285642739207,352.01837933219866,0.0,176.0,3.8039227907962743,38,1
running,high,93.8317469267219,126.56126405176366,312.00023130539165,17.739289816532434,2886.0,4.975736260270523,51,1
cycling,high,28.64720512729011,101.42667122332708,171.95170166873888,9.082714031722542,10380.0,3.576650601168882,26,0
swimming,high,66.70811798068087,154.38197562464535,244.96558674536365,10.784942250104093,3009.0,5.195039488006776,20,0
weightlifting,medium,36.83467815916823,119.33802276899812,533.7291986162261,0.0,5543.0,5.761075844939747,23,0
cycling,medium,76.75810120623973,134.06406919468208,239.8712524426941,5.519662728671911,56.0,7.313931863337085,58,0
swimming,low,74.99483273279057,118.08311283803215,139.42315012013347,17.895803757755687,12450.0,8.202149216012476,23,0
cycling,low,29.68438821119241,97.35840211375961,469.1071941909865,7.237110428575296,2316.0,3.3110139151000446,27,1
running,low,84.6898186846881,135.40416357684484,319.12646045622574,6.240820348186649,4013.0,8.736575463995397,33,1
yoga,medium,69.18869897859189,141.6504386473395,529.3636945778803,0.0,13204.0,7.320608551292207,44,1
running,medium,71.45190170743152,95.26308042068301,191.30987438370286,1.3099349634087276,7646.0,8.932641592038925,50,0
cycling,medium,,116.79328101987852,241.87079259097177,17.333102438218283,12707.0,3.7126626557897415,21,0
swimming,high,48.571561386861575,108.94520479215274,529.927715632972,16.5553523685344,9595.0,5.250130534189797,57,0
swimming,high,78.28349150394271,93.65838555570198,354.2408833540348,17.894296822011043,11126.0,6.013524071430488,50,0
running,high,89.06321661996284,97.70813278846298,353.83100085294257,1.1951453485968977,1372.0,7.4833407721108705,31,0
weightlifting,high,19.208792972986696,157.00059290611028,191.7164770375181,0.0,8117.0,4.866185698939569,25,0
