flight_id,airline,origin,destination,departure_hour,distance_km,nb_passengers,weather_score,runway_congestion,aircraft_age_years,delay_minutes,severe_delay
FL00001,AirFrance,CDG,MAD,7,1014.3,132,9.0,0.422,1,35.1,1
FL00002,British,CDG,FCO,6,2591.3,294,6.3,0.006,6,20.1,0
FL00003,EasyJet,FRA,MAD,4,989.0,252,4.4,0.344,9,24.2,0
FL00004,British,CDG,AMS,2,2066.5,265,7.3,,8,-27.9,0
FL00005,Ryanair,CDG,FRA,3,1516.4,312,4.3,0.21,9,3.7,0
FL00006,AirFrance,AMS,LHR,17,2633.2,163,3.4,0.688,8,3.8,0
FL00007,Ryanair,CDG,FRA,1,2876.1,285,2.9,0.876,11,56.8,1
FL00008,EasyJet,LHR,MAD,4,1089.2,214,4.9,0.362,5,38.6,1
FL00009,British,MAD,CDG,1,3055.5,158,8.1,0.064,13,-13.1,0
FL00010,Ryanair,AMS,CDG,21,2606.3,216,4.1,0.158,1,-0.9,0
FL00011,Ryanair,AMS,LHR,16,3220.4,232,5.6,0.374,6,-27.1,0
FL00012,British,CDG,FCO,10,1863.5,137,8.9,0.308,2,-0.6,0
FL00013,Lufthansa,AMS,CDG,2,2642.1,115,5.8,0.66,18,25.6,0
FL00014,British,MAD,LHR,17,2716.8,182,4.6,0.373,17,46.4,1
FL00015,EasyJet,CDG,FRA,7,504.9,90,3.1,0.071,21,48.7,1
FL00016,AirFrance,FRA,CDG,16,1061.6,328,2.2,0.571,16,33.4,1
FL00017,Lufthansa,MAD,AMS,6,601.8,300,4.7,0.054,21,21.3,0
FL00018,EasyJet,FCO,FRA,3,1095.7,177,2.3,0.463,3,28.9,0
FL00019,EasyJet,AMS,CDG,1,2386.9,87,9.3,0.166,16,-39.7,0
FL00020,AirFrance,LHR,AMS,0,3453.0,215,8.1,0.697,24,15.8,0
FL00021,British,FCO,MAD,4,907.7,191,6.2,0.748,2,52.1,1
FL00022,British,LHR,CDG,16,556.4,175,1.6,0.404,19,38.8,1
FL00023,Lufthansa,AMS,FCO,1,2282.0,294,6.1,0.261,22,6.1,0
FL00024,EasyJet,LHR,MAD,14,1311.8,117,,0.563,4,-8.0,0
FL00025,AirFrance,AMS,LHR,16,1148.6,258,8.9,0.158,18,0.1,0
FL00026,British,CDG,FCO,9,3281.6,133,2.2,0.107,18,-2.9,0
FL00027,Lufthansa,FRA,MAD,19,974.0,255,6.7,0.489,2,42.0,1
