user_id,genre,sub_type,hour_of_day,listen_duration_s,nb_skips,nb_likes,device_type,explicit_content,engagement_score
U0328,pop,free,23,90.3,1,4,mobile,1,31.75
U0309,pop,family,6,219.4,6,4,desktop,0,63.76
U0082,electronic,premium,10,88.1,5,3,mobile,1,69.31
U0374,hiphop,family,3,132.2,8,5,smart_speaker,1,40.84
U0361,pop,free,21,108.1,1,0,desktop,1,54.61
U0182,rock,family,8,214.6,1,1,smart_speaker,0,25.69
U0195,jazz,family,22,214.8,0,0,desktop,1,40.71
U0449,electronic,premium,6,136.8,10,2,mobile,0,83.27
U0276,jazz,family,18,187.6,5,1,smart_speaker,1,29.14
U0322,rock,family,13,133.9,9,4,desktop,0,51.94
U0059,electronic,family,8,121.8,4,3,mobile,1,79.03
U0055,electronic,premium,20,83.7,5,4,smart_speaker,0,56.44
U0251,pop,free,11,254.5,4,1,smart_speaker,0,27.12
U0390,classical,free,4,285.6,2,4,desktop,0,76.0
U0387,electronic,family,6,137.7,10,3,smart_speaker,1,18.41
U0302,classical,free,18,49.2,10,,mobile,0,68.75
U0037,classical,free,8,87.8,2,4,smart_speaker,1,26.52
U0049,pop,family,13,141.0,0,5,mobile,0,50.54
U0174,pop,free,6,151.1,6,3,mobile,0,48.1
U0026,electronic,family,0,280.1,3,3,desktop,0,64.14
U0463,pop,free,12,,6,3,desktop,1,55.09
U0339,electronic,premium,4,88.8,0,4,mobile,1,19.54
U0300,hiphop,family,16,289.4,1,0,smart_speaker,0,65.89
U0456,classical,free,18,197.2,6,4,smart_speaker,1,70.11
U0105,electronic,family,10,136.9,10,3,desktop,0,3.11
U0052,pop,family,6,65.8,5,1,desktop,1,27.36
U0427,classical,family,9,296.6,10,5,smart_speaker,1,78.96
U0136,pop,free,23,103.5,9,2,mobile,1,55.27
U0129,pop,free,20,104.7,0,1,smart_speaker,1,23.01
U0288,pop,free,2,216.6,2,2,smart_speaker,0,55.26
U0022,jazz,premium,1,86.7,3,2,smart_speaker,1,88.37
U0122,rock,free,13,,5,3,smart_speaker,0,17.76
U0404,electronic,free,12,261.8,3,3,desktop,1,73.16
U0338,rock,premium,10,48.7,4,4,desktop,1,82.24
U0060,jazz,free,18,101.7,1,2,smart_speaker,1,50.13
U0461,classical,free,8,,6,,smart_speaker,0,31.46
